date,game_id,home_team,away_team,venue,home_edge_score,away_edge_score,edge_diff,ou_score,ou_convergence_boost,model_total,actual_total,home_score,away_score,home_won,bet_signal,bet_side,model_win_prob,diff_signal,diff_side,ou_signal,ml_result,diff_result,ou_result,home_zone,home_pitch,home_walk,home_hand,away_zone,away_pitch,away_walk,away_hand,park_factor,park_weather_adj,home_bp_mod,away_bp_mod,home_bullpen_score,away_bullpen_score,home_ml,away_ml,home_edge_rw,away_edge_rw
2025-03-28,778560,Tampa Bay Rays,Colorado Rockies,George M. Steinbrenner Field,43.63,36.56,7.1,59.7,0.0,9.5,5,3.0,2.0,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,5.95,16.94,5.24,12.5,0.0,14.41,14.65,7.5,1.0,0.0,0.0,0.0,55.0,55.0,-222.0,179.0,37.68,34.12
2025-03-28,778549,Toronto Blue Jays,Baltimore Orioles,Rogers Centre,47.01,42.64,4.4,52.7,0.0,8.9,10,8.0,2.0,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,1.62,20.83,8.56,10.0,1.08,18.68,9.88,10.0,1.0,3.0,0.0,0.0,55.0,55.0,-125.0,104.0,40.77,37.2
2025-03-28,778548,Miami Marlins,Pittsburgh Pirates,loanDepot park,45.86,35.56,10.3,61.3,0.0,9.6,7,3.0,4.0,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,5.41,20.08,7.37,10.0,2.16,14.2,11.7,7.5,1.0,0.0,0.0,0.0,55.0,55.0,118.0,-135.0,40.35,32.88
2025-03-28,778550,Texas Rangers,Boston Red Sox,Globe Life Field,38.5,37.39,1.1,59.9,0.0,9.5,5,4.0,1.0,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,10.81,11.47,3.22,10.0,3.78,17.22,6.39,10.0,1.0,0.0,0.0,0.0,55.0,55.0,-105.0,-115.0,35.4,32.02
2025-03-28,778518,Houston Astros,New York Mets,Daikin Park,44.52,35.19,9.3,60.0,0.0,9.5,4,1.0,3.0,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,16.76,4.87,9.89,10.0,6.49,10.78,5.42,12.5,1.0,0.0,0.0,0.0,55.0,55.0,-115.0,-105.0,46.3,31.05
2025-03-28,778543,Arizona Diamondbacks,Chicago Cubs,Chase Field,41.45,37.5,4.0,59.6,0.0,9.5,9,8.0,1.0,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,3.24,15.13,10.08,10.0,10.81,7.19,15.0,4.5,1.0,0.0,0.0,0.0,55.0,55.0,-143.0,125.0,37.5,40.51
2025-03-28,778541,Seattle Mariners,Athletics,T-Mobile Park,37.3,49.49,12.2,60.5,0.0,9.4,7,0.0,7.0,False,NO BET,,,AWAY,AWAY,NO BET,NO BET,WIN,NO BET,0.0,14.25,10.05,10.0,18.38,12.83,10.78,7.5,1.0,0.0,0.0,0.0,55.0,55.0,-139.0,120.0,32.85,50.58
2025-03-28,778542,San Diego Padres,Atlanta Braves,Petco Park,37.09,28.47,8.6,62.8,0.0,9.9,7,4.0,3.0,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,0.0,21.29,5.3,7.5,0.0,11.99,6.48,10.0,1.0,0.0,0.0,0.0,55.0,55.0,-135.0,114.0,30.33,23.67
2025-03-28,778544,Los Angeles Dodgers,Detroit Tigers,Dodger Stadium,47.73,63.23,15.5,54.4,0.0,8.8,13,8.0,5.0,True,NO BET,,,AWAY,AWAY,NO BET,NO BET,LOSS,NO BET,5.41,17.14,12.18,10.0,26.49,11.74,15.0,10.0,1.0,0.0,0.0,0.0,55.0,55.0,-222.0,185.0,44.29,66.73
2025-03-29,778538,New York Yankees,Milwaukee Brewers,Yankee Stadium,46.22,35.05,11.2,59.9,0.0,9.5,29,20.0,9.0,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,7.57,15.79,9.86,10.0,0.0,12.08,12.97,10.0,1.0,0.0,0.0,0.0,55.0,55.0,-164.0,140.0,43.01,31.95
2025-03-29,778534,Chicago White Sox,Los Angeles Angels,Rate Field,41.36,48.68,7.3,59.3,0.0,9.3,1,0.0,1.0,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,2.7,13.06,10.1,12.5,0.0,30.0,8.68,10.0,1.0,0.0,0.0,0.0,55.0,55.0,140.0,-161.0,37.01,39.66
2025-03-29,778528,St. Louis Cardinals,Minnesota Twins,Busch Stadium,56.68,65.21,8.5,45.1,-8.0,8.3,6,5.0,1.0,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,14.59,18.26,10.83,10.0,19.46,20.75,15.0,10.0,1.0,0.0,0.0,0.0,55.0,55.0,-110.0,-110.0,54.65,64.72
2025-03-29,778536,Toronto Blue Jays,Baltimore Orioles,Rogers Centre,65.95,36.35,29.6,52.7,0.0,8.8,14,5.0,9.0,False,NO BET,,,HOME,HOME,NO BET,NO BET,LOSS,NO BET,24.86,14.03,13.56,7.5,2.7,13.87,6.78,10.0,1.0,3.0,0.0,0.0,55.0,55.0,-120.0,110.0,68.92,31.73
2025-03-29,778535,Washington Nationals,Philadelphia Phillies,Nationals Park,36.25,50.91,14.7,59.0,0.0,9.3,17,6.0,11.0,False,NO BET,,,AWAY,AWAY,NO BET,NO BET,WIN,NO BET,1.62,9.69,11.94,10.0,16.22,17.57,7.12,10.0,1.0,0.0,0.0,0.0,55.0,55.0,135.0,-154.0,33.88,48.44
2025-03-29,778529,Kansas City Royals,Cleveland Guardians,Kauffman Stadium,41.43,50.47,9.0,59.1,0.0,9.3,7,4.0,3.0,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,3.78,15.2,14.95,4.5,23.24,14.18,3.05,10.0,1.0,0.0,0.0,0.0,55.0,55.0,-115.0,100.0,40.71,49.4
2025-03-29,778540,Cincinnati Reds,San Francisco Giants,Great American Ball Park,41.29,54.73,13.4,58.1,0.0,9.1,5,3.0,2.0,True,NO BET,,,AWAY,AWAY,NO BET,NO BET,LOSS,NO BET,0.0,18.76,7.22,12.5,10.27,24.6,10.13,10.0,1.01,0.0,0.0,0.0,55.0,55.0,-120.0,104.0,34.08,49.87
2025-03-29,778537,Tampa Bay Rays,Colorado Rockies,George M. Steinbrenner Field,68.54,34.63,33.9,59.4,0.0,9.2,3,1.0,2.0,False,NO BET,,,HOME,HOME,NO BET,NO BET,LOSS,NO BET,17.3,22.1,13.64,12.5,12.97,11.66,0.0,10.0,1.0,0.0,0.0,0.0,55.0,55.0,-182.0,154.0,66.01,31.11
2025-03-29,778539,Miami Marlins,Pittsburgh Pirates,loanDepot park,53.17,30.19,23.0,62.2,0.0,9.6,9,5.0,4.0,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET,9.19,20.23,10.75,10.0,0.0,19.68,6.01,4.5,1.0,0.0,0.0,0.0,55.0,55.0,104.0,-120.0,49.38,25.04
2025-03-29,778531,Texas Rangers,Boston Red Sox,Globe Life Field,59.02,45.96,13.1,55.3,0.0,8.9,7,4.0,3.0,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET,20.54,11.09,14.39,10.0,14.05,13.75,8.16,10.0,1.0,0.0,0.0,0.0,55.0,55.0,-115.0,-105.0,61.19,44.3
2025-03-29,778530,Houston Astros,New York Mets,Daikin Park,38.68,37.95,0.7,61.3,0.0,9.6,3,2.0,1.0,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,10.27,5.07,10.34,10.0,6.49,14.14,4.82,12.5,1.0,0.0,0.0,0.0,55.0,55.0,-118.0,100.0,39.06,32.76
